SCHM_TYPE,SCHM_CODE,Name
BIA,CBPIN,SCLEAN BILL PUR INLAND
BIA,DBPIN,DOC BILL PURCHASE INLAND
CAA,BOICI,ICICI BOND
CAA,CAAUF,AGRICULTURE OD UNITED FIN
CAA,CABUF,CURRENT ACCOUNT BUSINESS
CAA,CACCL,CASH CREDIT LOAN NBB
CAA,CACUF,CHARGES UNITED FINANCE
CAA,CAESY,OVERDRAFT-EASY LOAN
CAA,CAG05,CURRENT ACCOUNT GENERAL
CAA,CAG10,CURRENT ACCOUNT GENERAL
CAA,CAG25,CURRENT ACCOUNT GENERAL
CAA,CAGEN,CURRENT ACCOUNT GENERAL
CAA,CAGO5,CURRENT ACCOUNT GENERAL
CAA,CAIOP,CURRENT A/C INOPERATIVE
CAA,CAIST,CURRENT ACCOUNT INTEREST SUBSIDISED TEXTILE
CAA,CALCL,LOWER CAST COMMUNITY LOAN NBB
CAA,CALFD,OVERDRAFT- LOAN AGAINST FD
CAA,CALFS,STL LOYALTY FINANCING SCH
CAA,CANEK,OD - NAB SAJILO EXP KARJA
CAA,CANNK,OD - NABIL NARI KARJA
CAA,CANSK,OD - NABIL SAJILO KARJA
CAA,CANSL,OVERDRAFT NSL
CAA,CANSM,OVERDRAFT NABIL SAKCHYAM KARJA
CAA,CAPCE,CURRENT ACCOUNT PERSONAL
CAA,CAPDG,PLEDGE LOAN NBB
CAA,CAPLE,CURRENT ACCOUNT PERSONAL
CAA,CAPOD,PERSONAL OD
CAA,CASPL,CURRENT ACCOUNT SPECIAL
CAA,CAVJK,VYAVASAYA JEEVAN RAKSHYA KARJA - 2077 NBB
CAA,CAWEL,(WOMAN ENTREPRENEUR LOAN NBB
CAA,CAYKK,OD-COM AGRO & LIVSTK LOAN
CAA,CSBOS,CSB & OTHER SECURITIES
CAA,DBILL,BILLS DISCOUNTING
CAA,DEFBO,DEVELOPMENT FOREIGN BOND
CAA,DEVBO,DEVELOPMENT BOND
CAA,GOVGA,LOCAL GOV CURRENT ACCOUNT
CAA,GOVKA,GOVERNMENT  KA  ACCOUNT
CAA,GOVKH,GOVERNMENT KHA ACCOUNT
CAA,GOVRA,GOVERNMENT REVENUE AC
CAA,GTEIN,GAURANTEE INCOME COMM
CAA,MARGN,CUSTOMER  MARGIN
CAA,MGNST,STAFF VEH. MARGIN
