,Branch_ID,Branch_Name,Zone_Code,City_Code,Address_1,Address_2,Province_Name,Province_Number,Sub_Provincial_Code
0,40,CHARIKOT,JANAK,DOL,NABIL BANK LIMITED,CHARIKOT,Madhesh Province,Province 2,Madhesh 1
1,67,LAHAN,SAGAR,SIR,LAHAN,,Koshi Province,Province 1,Koshi 7
2,66,BARDIBAS,JANAK,MAH,BARDIBAS,,Madhesh Province,Province 2,Madhesh 1
3,80,KALANKI,BAGMA,KTM,KALANKI,,Bagmati Province,Province 3,Bagmati 2
4,81,SURYABINAYAK,BAGMA,BHA,SURYABINAYAK,,Bagmati Province,Province 3,Bagmati 2
5,B0,HATTIGAUDA,BAGMA,KTM,HATTIGAUDA,KATHMANDU,Bagmati Province,Province 3,Bagmati 2
6,D2,BHATBHATENI,BAGMA,KTM,BHATBHATENI,,Bagmati Province,Province 3,Bagmati 2
7,93,HEAD OFFICE,BAGMA,KTM,NABIL CENTER,TINDHARA,Bagmati Province,Province 3,Bagmati 2
8,57,DAMAULI,TAN,DLI,DAMAULI,,Gandaki Province,Province 4,Gandaki 2
9,42,DHULIKHEL,BAGMA,KAV,DHULIKHEL,KAVRE,Bagmati Province,Province 3,Bagmati 2
10,92,BARDAGHAT,LUMBI,NAW,BARDAGHAT,,Lumbini Province,Province 5,Lumbini 2
11,64,TAANDI,NARAY,CHI,TAANDI,CHITWAN,Bagmati Province,Province 3,Bagmati 6
12,87,BIRATCHOWK,KOSHI,MOR,BIRATCHOWK,,Koshi Province,Province 1,Koshi 2
13,D1,RATOPOOL DHANGADI,MAHAK,DGI,RATOPOOL DHANGADI,,Sudurpaschim Province,Province 7,Sudurpaschim 4
14,90,GAJURI,DHA,DHA,DHADING,,Bagmati Province,Province 3,Bagmati 4
15,63,HARIWAN,JANAK,SAR,SARLAHI,,Madhesh Province,Province 2,Madhesh 1
16,E5,HETAUDA (CHISAPANI),BAGMA,KTM,HETAUDA (CHISAPANI),,Bagmati Province,Province 3,Bagmati 2
17,62,AMARSINGH CHOWK,GANDA,PHA,AMARSINGH CHOWK,,Gandaki Province,Province 4,Gandaki 1
18,00,DATACENTER,BAGMA,KTM,DATA CENTER,DATA CENTER,Bagmati Province,Province 3,Bagmati 2
19,02,CORP & INSTITUTIONAL DEPOSIT,BAGMA,KTM,NABIL HOUSE,KAMALADI,Bagmati Province,Province 3,Bagmati 2
20,99,TREASURY,BAGMA,KTM,NABILCENTER,TINDHARA,Bagmati Province,Province 3,Bagmati 2
21,98,NBANK,BAGMA,KTM,NABIL CENTRE,KANTIPATH,Bagmati Province,Province 3,Bagmati 2
22,03,NEWROAD,BAGMA,KTM,NABIL BANK LIMITED,NEW ROAD,Bagmati Province,Province 3,Bagmati 2
23,04,BOUDHA,BAGMA,KTM,JORPATI,JORPATI,Bagmati Province,Province 3,Bagmati 2
24,08,PERSONAL LENDING,BAGMA,LPR,PERSONAL LENDING UNIT,LALITPUR,Bagmati Province,Province 3,Bagmati 2
25,16,DHARAN,KOSHI,SUN,DHARAN,,Koshi Province,Province 1,Koshi 2
26,07,BIRATNAGAR,KOSHI,BTR,GOSHWARA ROAD,,Koshi Province,Province 1,Koshi 2
27,09,ITAHARI,KOSHI,ITA,MAIN ROAD,,Koshi Province,Province 1,Koshi 2
28,05,BIRGUNJ,PAR,BRG,ADARSHA NAGAR,BIRGUNJ,Madhesh Province,Province 2,Madhesh 3
29,06,PHC BIRGUNJ,NARAY,PAR,ALAU,,Bagmati Province,Province 3,Bagmati 6
30,12,POKHARA,GANDA,PHA,CHIPPLEDHUNGA,POKHARA,Gandaki Province,Province 4,Gandaki 1
31,10,BUTWAL,LUMBI,BUT,MAINROAD BUTWAL,P.O.B. 18 BUTWAL,Lumbini Province,Province 5,Lumbini 2
32,13,BHAIRAHAWA,LUMBI,BWA,"NARAYANPATH, BHAIRAHAW",P.O.B.18 (BUTWAL),Lumbini Province,Province 5,Lumbini 2
33,11,BHALWARI,LUMBI,BUT,"BHALWADI, RUPANDEHI",P.O.B. 18 (BUTWAL),Lumbini Province,Province 5,Lumbini 2
34,14,NEPALGUNJ,BHERI,NPJ,"DHAMBOJI, NEPALGUNJ","P.O.B. 22, NEPALGUNJ",Karnali Province,Province 6,Karnali 1
35,15,MAHARAJGUNJ,BAGMA,KTM,NABIL BANK LIMITED,MAHARAJGUNJ,Bagmati Province,Province 3,Bagmati 2
36,17,TEENDHARA,KTM,KTM,NABIL CENTER,TEENDHARA,Bagmati Province,Province 3,Bagmati 5
37,18,TRIPURESHWOR,BAGMA,KTM,UNITED WTC,TRIPURESWOR,Bagmati Province,Province 3,Bagmati 2
38,19,LALITPUR,BAGMA,LPR,NTC BUILDING,LALITPUR,Bagmati Province,Province 3,Bagmati 2
39,21,BIRTAMOD,MECHI,JHA,BIRTAMOD,,Koshi Province,Province 1,Koshi 4
40,22,DAMAK,MECHI,JHA,DAMAK,,Koshi Province,Province 1,Koshi 4
41,59,TIKAPUR,SETI,TIPUR,TIKAPUR,,Sudurpaschim Province,Province 7,Sudurpaschim 5
42,60,TAALCHOWK,GANDA,PHA,TAALCHOWK,POKHARA,Gandaki Province,Province 4,Gandaki 1
43,61,BAGAR,GANDA,PHA,BAGAR,POKHARA,Gandaki Province,Province 4,Gandaki 1
44,D3,MALIGAUN,BAGMA,KTM,DHUMBARAHI,,Bagmati Province,Province 3,Bagmati 2
45,23,HETAUDA,MWR,HET,HETAUDA,MAKWANPUR,Madhesh Province,Province 2,Madhesh 2
46,24,NARAYANGADH,CHI,CHI,NARAYANGADH,CHITAWAN,Bagmati Province,Province 3,Bagmati 3
47,25,TULSIPUR,DAN,DAN,TULSIPUR,,Lumbini Province,Province 5,Lumbini 1
48,26,GHORAHI,DAN,DAN,GHORAHI,,Lumbini Province,Province 5,Lumbini 1
49,27,BAGLUNG,BAG,BAG,BAGLUNG,BAGLUNG,Bagmati Province,Province 3,Bagmati 1
50,29,MAHENDRANAGAR,KPR,MGR,MAHENDRANAGAR,MAHENDRANAGAR,Karnali Province,Province 6,Karnali 3
51,30,MID CORPORATE,BAGMA,KTM,MID CORPORATE,,Bagmati Province,Province 3,Bagmati 2
52,31,NEW BANESHWOR,BAGMA,KTM,NEW BANESWOR,KATHMANDU,Bagmati Province,Province 3,Bagmati 2
53,32,HALCHOWK,BAGMA,KTM,NABIL BANK LIMITED,HALCHOWK,Bagmati Province,Province 3,Bagmati 2
54,33,THAMEL,BAGMA,KTM,NABIL BANK LIMITED,THAMEL,Bagmati Province,Province 3,Bagmati 2
55,96,SME AND MICRO,BAGMA,KTM,SME AND MICRO,NEW BANESHWOR,Bagmati Province,Province 3,Bagmati 2
56,97,INFRASTRUCTURE AND PROJECT FINA,BAGMA,KTM,NABIL CENTER,KANTIPATH,Bagmati Province,Province 3,Bagmati 2
